Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|Q7Z2Z2|EFL1_HUMAN	Q7Z2Z2	EFL1_HUMAN	EFL1	1120	Homo sapiens	Elongation factor-like GTPase 1	1:Experimental evidence at protein level	28.93	10.000	0.9990	26	26	26	44	44	44	1166529112	1166529112	1166529112	11C(57.0214), 11K(229.1629), 12K(229.1629), 15K(229.1629), 17K(229.1629), 1C(57.0214), 20K(229.1629), 21K(229.1629), 22C(57.0214), 24K(229.1629), 28K(229.1629), 3C(57.0214), 5M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1692)			33.859.577.745	26.913.595.725	40.234.755.399	28.137.619.600	37.565.224.880	27.112.506.322	34.282.958.525	35.101.086.156	34.191.152.908	41.575.991.958	49.386.239.404
sp|Q7Z333|SETX_HUMAN	Q7Z333	SETX_HUMAN	SETX	2677	Homo sapiens	Probable helicase senataxin	1:Experimental evidence at protein level	8.18	10.000	0.9990	19	19	19	24	24	24	137833569	137833569	137833569	10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			7.451.589.585	5.140.287.791	6.960.595.469	5.705.991.968	8.311.611.943	6.230.547.546	5.456.981.562	6.039.488.994	6.029.513.462	7.674.755.596	8.229.880.068
sp|Q7Z392|TPC11_HUMAN	Q7Z392	TPC11_HUMAN	TRAPPC11	1133	Homo sapiens	Trafficking protein particle complex subunit 11	1:Experimental evidence at protein level	28.86	10.000	0.9990	27	27	27	40	40	40	242880676	242880676	242880676	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 14M(15.9949), 16K(229.1629), 17C(57.0214), 1C(57.0214), 1K(229.1629), 23K(229.1629), 3C(57.0214), 4C(57.0214), 6K(229.1629), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			9.894.528.112	9.532.828.591	13.082.628.823	10.122.165.591	12.092.795.165	9.290.063.689	11.234.160.813	11.830.074.147	12.105.709.890	14.566.741.130	17.109.463.931
sp|Q7Z3B3|KANL1_HUMAN	Q7Z3B3	KANL1_HUMAN	KANSL1	1105	Homo sapiens	KAT8 regulatory NSL complex subunit 1	1:Experimental evidence at protein level	10.86	10.000	0.9990	11	10	11	17	16	17	55575792	55575792	55575792	12K(229.1629), 17K(229.1629), 8K(229.1629), N-term(229.1692)			3.042.130.408	2.391.795.229	4.380.860.608	2.845.675.886	3.308.277.983	2.877.247.200	3.006.839.615	3.729.081.592	3.406.740.007	4.096.009.226	5.505.873.381
sp|Q7Z3B4|NUP54_HUMAN	Q7Z3B4	NUP54_HUMAN	NUP54	507	Homo sapiens	Nucleoporin p54	1:Experimental evidence at protein level	53.06	10.000	0.9990	24	24	24	87	87	87	499728032	499728032	499728032	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 17K(229.1629), 19C(57.0214), 19K(229.1629), 21K(229.1629), 2M(15.9949), 30K(229.1629), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			39.165.934.064	28.318.744.125	49.393.442.295	32.888.001.769	44.380.642.328	33.580.714.930	37.780.502.027	43.599.449.099	42.473.204.470	47.089.257.476	58.578.293.462
sp|Q7Z3C6|ATG9A_HUMAN	Q7Z3C6	ATG9A_HUMAN	ATG9A	839	Homo sapiens	Autophagy-related protein 9A	1:Experimental evidence at protein level	9.18	10.000	0.9990	5	5	5	10	10	10	28726694	28726694	28726694	13C(57.0214), N-term(229.1692)			897.209.585	1.008.946.318	1.279.934.951	1.079.091.017	1.166.764.093	873.389.678	1.270.192.861	1.225.873.401	1.159.250.781	1.342.589.434	1.522.784.795
sp|Q7Z3D6|GLUCM_HUMAN	Q7Z3D6	GLUCM_HUMAN	DGLUCY	616	Homo sapiens	D-glutamate cyclase, mitochondrial	1:Experimental evidence at protein level	37.50	10.000	0.9990	17	17	17	41	41	41	103876072	103876072	103876072	11K(229.1629), 14K(229.1629), 19K(229.1629), 1K(229.1629), 20K(229.1629), 21C(57.0214), 21K(229.1629), 22K(229.1629), 24K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 3C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			10.653.348.495	14.578.373.856	12.077.465.996	16.006.064.043	14.006.358.003	10.402.175.282	16.336.402.814	13.641.098.569	17.234.464.408	17.627.477.023	18.405.917.570
sp|Q7Z3E2|CC186_HUMAN	Q7Z3E2	CC186_HUMAN	CCDC186	898	Homo sapiens	Coiled-coil domain-containing protein 186	1:Experimental evidence at protein level	0.89	10.000	0.9990	1	1	1	1	1	1	2395429	2395429	2395429	N-term(229.1692)			112.409.189	69.387.065	71.082.603	68.088.691	73.624.521	62.939.673	87.884.482	65.979.038	76.609.399	107.982.383	107.316.055
sp|Q7Z3J2|VP35L_HUMAN	Q7Z3J2	VP35L_HUMAN	VPS35L	963	Homo sapiens	VPS35 endosomal protein-sorting factor-like	1:Experimental evidence at protein level	24.30	10.000	0.9990	22	22	22	38	38	38	180313200	180313200	180313200	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 1K(229.1629), 2C(57.0214), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			17.436.043.186	16.940.617.261	19.454.270.630	18.756.251.931	22.445.894.199	15.317.890.112	20.017.595.859	17.196.554.939	16.918.537.241	24.971.319.258	24.613.593.340
sp|Q7Z3K3|POGZ_HUMAN	Q7Z3K3	POGZ_HUMAN	POGZ	1410	Homo sapiens	Pogo transposable element with ZNF domain	1:Experimental evidence at protein level	29.86	10.000	0.9990	32	32	32	64	64	64	222764184	222764184	222764184	10C(57.0214), 10K(229.1629), 10M(15.9949), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16M(15.9949), 17K(229.1629), 18K(229.1629), 21K(229.1629), 23C(57.0214), 24K(229.1629), 25C(57.0214), 26C(57.0214), 28K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			33.704.046.802	28.008.949.294	37.761.042.048	28.494.404.932	39.043.286.279	28.141.533.198	33.123.628.962	35.730.425.425	35.841.503.069	41.163.424.570	48.479.376.436
sp|Q7Z3T8|ZFY16_HUMAN	Q7Z3T8	ZFY16_HUMAN	ZFYVE16	1539	Homo sapiens	Zinc finger FYVE domain-containing protein 16	1:Experimental evidence at protein level	5.33	10.000	0.9990	8	8	8	9	9	9	206965796	206965796	206965796	11C(57.0214), 13C(57.0214), 15K(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			2.019.567.705	1.594.715.791	2.259.077.910	1.603.280.078	2.295.928.721	1.688.696.880	1.845.354.990	1.840.047.295	1.950.150.986	2.236.876.245	2.415.944.683
sp|Q7Z3U7|MON2_HUMAN	Q7Z3U7	MON2_HUMAN	MON2	1717	Homo sapiens	Protein MON2 homolog	1:Experimental evidence at protein level	11.24	10.000	0.9990	19	19	19	25	25	25	91876546	91876546	91876546	10K(229.1629), 11K(229.1629), 2C(57.0214), 3C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			8.759.445.186	6.671.159.556	10.751.368.623	7.455.001.084	10.154.050.518	8.120.290.723	8.586.680.254	9.775.043.716	8.989.845.010	11.738.720.854	14.745.011.782
sp|Q7Z3V4|UBE3B_HUMAN	Q7Z3V4	UBE3B_HUMAN	UBE3B	1068	Homo sapiens	Ubiquitin-protein ligase E3B	1:Experimental evidence at protein level	5.71	10.000	0.9990	6	6	6	8	8	8	30192334	30192334	30192334	11K(229.1629), 19K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			1.810.340.439	1.567.612.637	1.762.379.019	1.921.257.710	2.171.690.405	1.422.266.489	1.867.194.932	1.648.168.281	1.875.887.031	2.294.553.384	2.245.002.363
sp|Q7Z401|MYCPP_HUMAN	Q7Z401	MYCPP_HUMAN	DENND4A	1863	Homo sapiens	C-myc promoter-binding protein	1:Experimental evidence at protein level	12.72	10.000	0.9990	18	17	17	30	28	28	94259198	76924326	94259198	10K(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 18C(57.0214), 20K(229.1629), 27K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 3M(15.9949), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), N-term(229.1692)			8.636.373.621	7.672.342.075	12.091.786.431	7.690.371.382	10.316.847.388	7.892.549.453	9.422.950.674	9.887.458.264	9.467.242.642	11.471.607.422	14.984.947.905
sp|Q7Z406|MYH14_HUMAN	Q7Z406	MYH14_HUMAN	MYH14	1995	Homo sapiens	Myosin-14	1:Experimental evidence at protein level	8.92	10.000	0.9990	17	8	8	35	13	13	2079403200	75001446	2079403200	15K(229.1629), 17K(229.1629), 7K(229.1629), 9M(15.9949), N-term(229.1692)			30.368.888.604	28.159.777.202	40.999.439.028	31.531.117.690	41.218.736.460	27.109.205.737	40.411.853.169	41.650.267.324	42.144.020.522	50.764.846.934	67.596.975.537
sp|Q7Z417|NUFP2_HUMAN	Q7Z417	NUFP2_HUMAN	NUFIP2	695	Homo sapiens	FMR1-interacting protein NUFIP2	1:Experimental evidence at protein level	41.15	10.000	0.9990	19	19	19	47	47	47	185359368	185359368	185359368	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 18K(229.1629), 21K(229.1629), 22K(229.1629), 25K(229.1629), 2K(229.1629), 33K(229.1629), 8K(229.1629), N-term(229.1692)			29.952.743.234	23.379.568.142	32.721.577.007	28.152.737.745	30.896.048.770	26.214.727.841	24.539.001.477	29.565.567.078	23.255.586.036	27.884.181.699	37.415.007.555
sp|Q7Z422|SZRD1_HUMAN	Q7Z422	SZRD1_HUMAN	SZRD1	152	Homo sapiens	SUZ domain-containing protein 1	1:Experimental evidence at protein level	53.95	10.000	0.9990	5	5	5	12	12	12	129092504	129092504	129092504	12K(229.1629), 22K(229.1629), 25K(229.1629), N-term(229.1692), N-term(42.0106)			3.887.216.443	2.464.311.853	3.801.725.254	2.607.956.824	4.965.975.032	3.546.139.071	3.243.879.429	3.235.579.158	2.473.352.351	3.705.618.003	5.294.376.062
sp|Q7Z434|MAVS_HUMAN	Q7Z434	MAVS_HUMAN	MAVS	540	Homo sapiens	Mitochondrial antiviral-signaling protein	1:Experimental evidence at protein level	29.63	10.000	0.9990	8	8	8	18	18	18	101799420	101799420	101799420	13C(57.0214), 14K(229.1629), 27K(229.1629), 2C(57.0214), 31K(229.1629), 39K(229.1629), 6M(15.9949), 7K(229.1629), N-term(229.1692)			3.403.430.880	3.540.605.073	4.430.697.119	4.323.623.184	4.714.931.533	2.663.184.624	4.354.509.167	3.664.628.403	4.246.928.628	5.030.112.454	5.988.235.872
sp|Q7Z460|CLAP1_HUMAN	Q7Z460	CLAP1_HUMAN	CLASP1	1538	Homo sapiens	CLIP-associating protein 1	1:Experimental evidence at protein level	26.53	10.000	0.9990	34	26	28	52	34	40	314324224	147179672	314324224	11K(229.1629), 12K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18C(57.0214), 20K(229.1629), 22K(229.1629), 3C(57.0214), 4C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			26.047.623.228	15.479.746.021	23.790.630.317	17.189.416.829	25.175.605.698	21.847.160.627	19.560.450.239	20.956.538.862	18.458.450.513	25.312.210.952	31.586.229.727
sp|Q7Z478|DHX29_HUMAN	Q7Z478	DHX29_HUMAN	DHX29	1369	Homo sapiens	ATP-dependent RNA helicase DHX29	1:Experimental evidence at protein level	22.50	10.000	0.9990	28	28	28	54	54	54	83757860	83757860	83757860	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 16K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			19.875.130.027	16.041.569.703	20.637.846.882	17.757.486.277	21.079.647.494	17.399.339.500	20.288.543.160	19.115.879.302	20.237.900.874	22.123.010.405	28.244.021.792
sp|Q7Z4G1|COMD6_HUMAN	Q7Z4G1	COMD6_HUMAN	COMMD6	85	Homo sapiens	COMM domain-containing protein 6	1:Experimental evidence at protein level	94.12	10.000	0.9990	8	8	8	16	16	16	119705160	119705160	119705160	10C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 1C(57.0214), 3M(15.9949), 9K(229.1629), N-term(229.1692), N-term(42.0106)			6.687.135.062	6.713.662.036	8.333.509.390	7.628.657.046	7.571.764.431	6.075.670.061	7.963.025.801	6.715.573.687	8.632.752.759	8.577.860.918	10.997.697.422
sp|Q7Z4G4|TRM11_HUMAN	Q7Z4G4	TRM11_HUMAN	TRMT11	463	Homo sapiens	tRNA (guanine(10)-N2)-methyltransferase homolog	1:Experimental evidence at protein level	17.49	10.000	0.9990	7	7	7	9	9	9	105419314	105419314	105419314	12K(229.1629), 20K(229.1629), 7K(229.1629), N-term(229.1692)			3.682.397.461	3.127.984.507	3.519.846.982	3.188.697.600	4.209.296.992	2.571.896.685	3.066.665.813	2.284.341.370	3.091.704.946	4.337.237.998	3.933.891.226
sp|Q7Z4H3|HDDC2_HUMAN	Q7Z4H3	HDDC2_HUMAN	HDDC2	204	Homo sapiens	5'-deoxynucleotidase HDDC2	1:Experimental evidence at protein level	63.24	10.000	0.9990	11	11	11	35	35	35	332240172	332240172	332240172	12K(229.1629), 12M(15.9949), 18K(229.1629), 20K(229.1629), 4M(15.9949), 5C(57.0214), 6M(15.9949), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692), N-term(42.0106)			6.672.088.059	7.085.180.430	10.526.338.638	8.200.225.549	9.621.576.665	7.206.862.627	9.735.586.653	8.694.091.401	9.258.178.467	10.236.256.155	13.051.306.016
sp|Q7Z4H7|HAUS6_HUMAN	Q7Z4H7	HAUS6_HUMAN	HAUS6	955	Homo sapiens	HAUS augmin-like complex subunit 6	1:Experimental evidence at protein level	24.29	10.000	0.9990	21	21	21	28	28	28	76250646	76250646	76250646	10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 1C(57.0214), 25K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7K(229.1629), N-term(229.1692)			11.282.661.284	7.265.714.963	12.090.683.618	8.355.409.420	12.409.895.000	9.595.236.134	8.916.098.699	9.579.382.527	7.882.888.582	11.677.782.100	13.403.861.394
sp|Q7Z4H8|PLGT3_HUMAN	Q7Z4H8	PLGT3_HUMAN	POGLUT3	507	Homo sapiens	Protein O-glucosyltransferase 3	1:Experimental evidence at protein level	38.07	10.000	0.9990	16	16	16	31	31	31	127916408	127916408	127916408	10C(57.0214), 10K(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 3C(57.0214), 4C(57.0214), 4K(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			17.985.667.462	14.513.452.383	23.023.701.715	17.106.328.162	23.899.373.556	15.895.304.462	20.471.072.432	21.297.945.298	24.679.040.979	25.454.389.773	31.912.317.734
sp|Q7Z4L5|TT21B_HUMAN	Q7Z4L5	TT21B_HUMAN	TTC21B	1316	Homo sapiens	Tetratricopeptide repeat protein 21B	1:Experimental evidence at protein level	3.12	10.000	0.9990	4	3	4	4	3	4	1371108	1371108	1371108	18K(229.1629), 6C(57.0214), 7K(229.1629), N-term(229.1692)			708.403.379	475.212.485	581.077.266	707.666.069	647.583.374	550.455.342	524.199.258	495.762.080	564.587.246	607.363.691	861.277.402
sp|Q7Z4Q2|HEAT3_HUMAN	Q7Z4Q2	HEAT3_HUMAN	HEATR3	680	Homo sapiens	HEAT repeat-containing protein 3	1:Experimental evidence at protein level	26.18	10.000	0.9990	14	14	14	29	29	29	115909568	115909568	115909568	10K(229.1629), 11K(229.1629), 15K(229.1629), 22K(229.1629), 29K(229.1629), 3C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			13.315.921.079	9.336.450.503	15.991.523.677	9.429.399.663	12.612.170.000	11.560.064.297	13.108.852.378	12.475.988.418	12.273.999.424	13.741.417.100	19.326.077.139
sp|Q7Z4V0|ZN438_HUMAN	Q7Z4V0	ZN438_HUMAN	ZNF438	828	Homo sapiens	Zinc finger protein 438	1:Experimental evidence at protein level	1.93	10.000	0.9990	1	1	1	1	1	1	0	0	0	16K(229.1629), N-term(229.1692)			54.228.638	102.693.115	181.906.309	131.771.895	84.121.289	103.510.586	186.291.289	180.391.895	150.581.543	154.396.514	178.687.383
sp|Q7Z4V5|HDGR2_HUMAN	Q7Z4V5	HDGR2_HUMAN	HDGFL2	671	Homo sapiens	Hepatoma-derived growth factor-related protein 2	1:Experimental evidence at protein level	36.36	10.000	0.9990	28	27	28	63	60	63	766031728	766031728	766031728	10K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 28K(229.1629), 2C(57.0214), 2K(229.1629), 4K(229.1629), 5K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			34.363.824.237	29.507.721.267	36.049.283.464	32.343.156.141	38.773.099.591	28.311.675.804	35.102.521.244	39.070.742.917	34.787.772.336	44.296.172.997	55.556.336.947
sp|Q7Z4W1|DCXR_HUMAN	Q7Z4W1	DCXR_HUMAN	DCXR	244	Homo sapiens	L-xylulose reductase	1:Experimental evidence at protein level	68.03	10.000	0.9990	13	13	13	48	48	48	401186336	401186336	401186336	10K(229.1629), 10M(15.9949), 12C(57.0214), 18C(57.0214), 19C(57.0214), 23K(229.1629), 28K(229.1629), 2M(15.9949), 3M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			18.087.031.367	24.233.607.598	23.420.569.746	26.301.604.961	21.429.898.105	17.188.937.505	28.704.236.926	24.842.418.262	32.137.397.385	28.352.126.074	42.962.112.139
sp|Q7Z569|BRAP_HUMAN	Q7Z569	BRAP_HUMAN	BRAP	592	Homo sapiens	BRCA1-associated protein	1:Experimental evidence at protein level	25.84	10.000	0.9990	14	14	14	29	29	29	171021472	171021472	171021472	10C(57.0214), 11K(229.1629), 12K(229.1629), 14C(57.0214), 17K(229.1629), 1C(57.0214), 2C(57.0214), 4C(57.0214), 5M(15.9949), 6C(57.0214), 7K(229.1629), 9C(57.0214), N-term(229.1692)			18.368.789.126	14.414.327.798	20.508.227.476	16.044.889.080	21.323.803.174	15.272.076.250	17.357.145.957	17.401.824.653	16.924.880.991	23.452.886.450	24.317.982.263
sp|Q7Z589|EMSY_HUMAN	Q7Z589	EMSY_HUMAN	EMSY	1322	Homo sapiens	BRCA2-interacting transcriptional repressor EMSY	1:Experimental evidence at protein level	10.44	10.000	0.9990	9	9	9	10	10	10	12751894	12751894	12751894	11K(229.1629), 15K(229.1629), 16K(229.1629), 20K(229.1629), 24K(229.1629), 26K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			1.072.166.887	830.341.642	1.036.802.104	1.018.990.356	1.044.952.515	936.945.814	1.003.939.751	921.360.742	1.133.863.517	1.264.918.816	1.590.441.646
sp|Q7Z591|AKNA_HUMAN	Q7Z591	AKNA_HUMAN	AKNA	1439	Homo sapiens	Microtubule organization protein AKNA	1:Experimental evidence at protein level	7.09	10.000	0.9990	8	8	8	12	12	12	173240039	173240039	173240039	17K(229.1629), 20K(229.1629), 25K(229.1629), 2C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			1.894.341.895	1.217.754.907	1.928.130.518	1.456.818.469	2.427.154.253	1.317.356.323	1.486.099.211	1.468.151.692	1.249.477.292	2.001.980.186	2.347.194.927
sp|Q7Z5G4|GOGA7_HUMAN	Q7Z5G4	GOGA7_HUMAN	GOLGA7	137	Homo sapiens	Golgin subfamily A member 7	1:Experimental evidence at protein level	32.85	10.000	0.9990	4	4	4	8	8	8	38485611	38485611	38485611	11K(229.1629), N-term(229.1692)			1.652.442.803	2.164.017.568	2.920.449.280	2.272.359.004	1.928.516.143	2.079.510.767	2.546.438.225	2.668.173.492	2.367.001.904	2.583.054.661	2.859.042.202
sp|Q7Z5J4|RAI1_HUMAN	Q7Z5J4	RAI1_HUMAN	RAI1	1906	Homo sapiens	Retinoic acid-induced protein 1	1:Experimental evidence at protein level	8.50	10.000	0.9990	12	11	11	20	17	17	59507343	36518110	59507343	12C(57.0214), 12K(229.1629), 17K(229.1629), 19K(229.1629), 20K(229.1629), 21K(229.1629), 2C(57.0214), 9K(229.1629), N-term(229.1692)			5.614.854.028	4.014.907.224	5.570.837.959	4.018.536.357	5.265.317.471	4.041.829.060	5.211.069.724	4.981.439.207	4.835.656.353	5.972.275.142	7.128.460.107
sp|Q7Z5K2|WAPL_HUMAN	Q7Z5K2	WAPL_HUMAN	WAPL	1190	Homo sapiens	Wings apart-like protein homolog	1:Experimental evidence at protein level	34.54	10.000	0.9990	35	35	35	73	73	73	280690060	280690060	280690060	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 14M(15.9949), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 20K(229.1629), 24K(229.1629), 25K(229.1629), 2C(57.0214), 2K(229.1629), 3K(229.1629), 6K(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			48.775.379.316	35.566.865.479	50.562.597.500	40.038.911.914	53.940.104.316	41.066.631.514	43.188.870.857	45.782.140.405	42.491.127.690	55.832.356.299	62.358.421.509
sp|Q7Z5L2|R3HCL_HUMAN	Q7Z5L2	R3HCL_HUMAN	R3HCC1L	792	Homo sapiens	Coiled-coil domain-containing protein R3HCC1L	1:Experimental evidence at protein level	11.49	10.000	0.9990	6	6	6	7	7	7	28941105	28941105	28941105	3C(57.0214), 4C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			1.137.573.579	824.369.849	1.011.757.617	1.003.289.712	1.089.840.278	954.118.872	954.075.225	844.572.905	855.182.295	1.207.097.554	1.267.728.237
sp|Q7Z5L9|I2BP2_HUMAN	Q7Z5L9	I2BP2_HUMAN	IRF2BP2	587	Homo sapiens	Interferon regulatory factor 2-binding protein 2	1:Experimental evidence at protein level	85.69	10.000	0.9990	35	32	35	123	100	123	890755072	890755072	890755072	10C(57.0214), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1C(57.0214), 21K(229.1629), 22K(229.1629), 26K(229.1629), 28K(229.1629), 2C(57.0214), 2K(229.1629), 30K(229.1629), 31K(229.1629), 33C(57.0214), 34C(57.0214), 36K(229.1629), 37C(57.0214), 4C(57.0214), 5C(57.0214), 5M(15.9949), 9C(57.0214), N-term(229.1692)			43.070.097.194	31.158.114.731	51.077.300.468	36.034.818.425	49.627.802.358	38.661.308.837	40.752.011.494	44.039.925.311	37.336.319.811	50.295.881.792	63.824.609.996
sp|Q7Z5Q1|CPEB2_HUMAN	Q7Z5Q1	CPEB2_HUMAN	CPEB2	589	Homo sapiens	Cytoplasmic polyadenylation element-binding protein 2	2:Experimental evidence at transcript level	1.87	10.000	0.9990	1	0	1	1	0	1	0	0	0	11K(229.1629), N-term(229.1692)			90.453.496	58.862.256	129.148.135	52.395.356	64.998.794	73.404.819	113.560.693	139.327.715	97.504.307	89.259.150	118.793.398
sp|Q7Z5R6|AB1IP_HUMAN	Q7Z5R6	AB1IP_HUMAN	APBB1IP	666	Homo sapiens	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	1:Experimental evidence at protein level	36.34	10.000	0.9990	19	19	19	65	65	65	741255232	741255232	741255232	10C(57.0214), 10K(229.1629), 13K(229.1629), 1K(229.1629), 20K(229.1629), 22K(229.1629), 23M(15.9949), 24K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 7K(229.1629), 7M(15.9949), 9K(229.1629), N-term(229.1692)			50.119.517.891	47.927.763.315	51.283.622.478	49.821.740.493	60.469.774.900	44.395.754.290	50.976.440.564	54.252.787.471	48.182.275.012	72.162.222.883	79.436.126.975
sp|Q7Z614|SNX20_HUMAN	Q7Z614	SNX20_HUMAN	SNX20	316	Homo sapiens	Sorting nexin-20	1:Experimental evidence at protein level	5.70	10.000	0.9990	2	2	2	2	2	2	10691200	10691200	10691200	5C(57.0214), N-term(229.1692)			277.470.410	387.555.547	707.950.859	362.458.164	331.271.797	375.928.086	519.663.320	631.341.211	772.861.719	598.152.852	612.834.258
sp|Q7Z624|CMKMT_HUMAN	Q7Z624	CMKMT_HUMAN	CAMKMT	323	Homo sapiens	Calmodulin-lysine N-methyltransferase	1:Experimental evidence at protein level	11.76	10.000	0.9990	3	3	3	6	6	6	29635920	29635920	29635920	10C(57.0214), 14K(229.1629), 9C(57.0214), N-term(229.1692)			1.684.402.627	1.693.725.605	1.814.055.352	1.473.667.715	1.643.792.910	1.414.496.797	1.772.435.781	1.979.823.223	1.613.467.988	2.061.379.922	2.482.545.977
sp|Q7Z6B0|CCD91_HUMAN	Q7Z6B0	CCD91_HUMAN	CCDC91	441	Homo sapiens	Coiled-coil domain-containing protein 91	1:Experimental evidence at protein level	32.20	10.000	0.9990	15	15	15	29	29	29	107667616	107667616	107667616	11K(229.1629), 12K(229.1629), 1C(57.0214), 26K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			13.000.179.917	11.496.792.888	18.115.534.209	13.933.291.396	17.864.857.302	12.946.598.214	14.761.282.927	16.601.846.138	14.947.676.895	19.710.307.183	22.369.054.517
