Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|Q7Z3E2|CC186_HUMAN	Q7Z3E2	CC186_HUMAN	CCDC186	898	Homo sapiens	Coiled-coil domain-containing protein 186	1:Experimental evidence at protein level	1.78	10.000	0.9990	2	2	2	3	3	3	1171726	1171726	1171726	8K(229.1629), N-term(229.1692)			126.715.164	178.220.903	88.641.997	127.113.975	145.346.731	165.467.400	188.574.001	86.827.141	214.086.682	115.218.303	199.893.423
sp|Q7Z3J2|VP35L_HUMAN	Q7Z3J2	VP35L_HUMAN	VPS35L	963	Homo sapiens	VPS35 endosomal protein-sorting factor-like	1:Experimental evidence at protein level	34.79	10.000	0.9990	28	28	28	43	43	43	186854240	186854240	186854240	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 22K(229.1629), 2C(57.0214), 30K(229.1629), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			13.842.949.354	19.665.645.784	10.806.520.327	20.993.549.521	17.160.465.876	19.828.655.908	18.450.519.333	13.758.746.372	20.988.935.823	12.581.113.022	21.127.986.580
sp|Q7Z3K3|POGZ_HUMAN	Q7Z3K3	POGZ_HUMAN	POGZ	1410	Homo sapiens	Pogo transposable element with ZNF domain	1:Experimental evidence at protein level	31.35	10.000	0.9990	35	35	35	75	75	75	370938176	370938176	370938176	10C(57.0214), 10K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16M(15.9949), 17K(229.1629), 18K(229.1629), 19K(229.1629), 23C(57.0214), 24K(229.1629), 25C(57.0214), 26C(57.0214), 28K(229.1629), 2C(57.0214), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 6C(57.0214), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			33.105.518.582	40.123.506.194	27.393.733.125	44.722.999.481	43.183.220.548	44.770.242.727	49.279.081.973	40.593.381.470	44.071.613.469	39.087.078.336	58.328.710.182
sp|Q7Z3T8|ZFY16_HUMAN	Q7Z3T8	ZFY16_HUMAN	ZFYVE16	1539	Homo sapiens	Zinc finger FYVE domain-containing protein 16	1:Experimental evidence at protein level	6.17	10.000	0.9990	9	9	9	11	11	11	30704944	30704944	30704944	10K(229.1629), 11K(229.1629), 13C(57.0214), 13K(229.1629), 15K(229.1629), 1C(57.0214), 2C(57.0214), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			2.345.210.322	2.741.452.007	1.903.329.768	2.952.662.354	2.592.300.835	2.524.729.688	3.109.481.255	2.344.638.521	2.772.921.289	1.872.206.760	3.303.537.671
sp|Q7Z3U7|MON2_HUMAN	Q7Z3U7	MON2_HUMAN	MON2	1717	Homo sapiens	Protein MON2 homolog	1:Experimental evidence at protein level	12.11	10.000	0.9990	19	19	19	27	27	27	302971632	302971632	302971632	10K(229.1629), 11K(229.1629), 14K(229.1629), 2C(57.0214), 2M(15.9949), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			8.681.803.293	10.073.257.533	5.766.136.730	11.857.118.646	9.679.812.953	10.935.885.930	12.874.332.475	7.089.589.317	11.977.002.024	6.155.871.394	12.508.387.603
sp|Q7Z3V4|UBE3B_HUMAN	Q7Z3V4	UBE3B_HUMAN	UBE3B	1068	Homo sapiens	Ubiquitin-protein ligase E3B	1:Experimental evidence at protein level	3.18	10.000	0.9990	4	4	4	7	7	7	18178438	18178438	18178438	11K(229.1629), 8K(229.1629), N-term(229.1692)			985.670.303	1.088.193.374	769.372.373	1.062.950.408	1.107.186.255	1.158.132.656	1.200.398.110	961.802.827	1.224.169.512	871.234.297	1.524.929.084
sp|Q7Z401|MYCPP_HUMAN	Q7Z401	MYCPP_HUMAN	DENND4A	1863	Homo sapiens	C-myc promoter-binding protein	1:Experimental evidence at protein level	14.17	10.000	0.9990	20	18	19	33	29	31	153180136	153180136	153180136	10K(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 16C(57.0214), 18K(229.1629), 20K(229.1629), 24K(229.1629), 27K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 3M(15.9949), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			10.833.342.629	11.539.767.749	8.659.625.256	12.650.522.521	11.798.893.049	11.974.970.187	15.921.429.438	9.996.429.443	12.578.744.724	10.769.889.492	17.437.911.143
sp|Q7Z406|MYH14_HUMAN	Q7Z406	MYH14_HUMAN	MYH14	1995	Homo sapiens	Myosin-14	1:Experimental evidence at protein level	6.62	10.000	0.9990	12	4	4	25	11	11	3699375360	91667046	3699375360	11K(229.1629), 15K(229.1629), 2M(15.9949), 4K(229.1629), N-term(229.1692)			17.067.515.029	24.833.037.217	16.797.332.280	28.829.468.584	21.920.279.683	27.211.836.504	24.725.504.429	19.438.040.752	28.917.943.047	15.699.611.965	39.413.514.658
sp|Q7Z417|NUFP2_HUMAN	Q7Z417	NUFP2_HUMAN	NUFIP2	695	Homo sapiens	FMR1-interacting protein NUFIP2	1:Experimental evidence at protein level	38.85	10.000	0.9990	17	17	17	43	43	43	189573216	189573216	189573216	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 18K(229.1629), 21K(229.1629), 22K(229.1629), 25K(229.1629), 2K(229.1629), 33K(229.1629), 8K(229.1629), N-term(229.1692)			18.517.576.570	17.870.200.735	15.741.971.791	19.601.195.442	18.493.037.227	18.363.569.645	25.362.837.974	14.648.792.256	19.736.942.629	13.350.528.625	27.811.516.638
sp|Q7Z422|SZRD1_HUMAN	Q7Z422	SZRD1_HUMAN	SZRD1	152	Homo sapiens	SUZ domain-containing protein 1	1:Experimental evidence at protein level	36.18	10.000	0.9990	3	3	3	9	9	9	73632293	73632293	73632293	22K(229.1629), 25K(229.1629), N-term(229.1692), N-term(42.0106)			2.053.448.223	2.102.430.923	1.382.912.740	2.407.532.787	2.113.670.850	2.374.980.725	2.852.311.824	1.639.350.394	2.444.849.630	1.873.483.972	3.328.030.500
sp|Q7Z434|MAVS_HUMAN	Q7Z434	MAVS_HUMAN	MAVS	540	Homo sapiens	Mitochondrial antiviral-signaling protein	1:Experimental evidence at protein level	42.04	10.000	0.9990	11	11	11	19	19	19	110466478	110466478	110466478	13C(57.0214), 14K(229.1629), 19C(57.0214), 27K(229.1629), 2C(57.0214), 31K(229.1629), 34K(229.1629), 39K(229.1629), 6C(57.0214), 6M(15.9949), 7K(229.1629), N-term(229.1692)			2.384.583.099	3.206.444.254	2.227.438.644	3.988.978.542	3.191.903.400	3.299.597.937	3.698.750.116	2.911.265.439	3.468.243.092	3.067.780.332	4.431.598.365
sp|Q7Z460|CLAP1_HUMAN	Q7Z460	CLAP1_HUMAN	CLASP1	1538	Homo sapiens	CLIP-associating protein 1	1:Experimental evidence at protein level	22.95	10.000	0.9990	32	23	25	50	33	39	157354592	110381418	157354592	11K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 18C(57.0214), 20K(229.1629), 2C(57.0214), 4C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			22.963.974.692	22.765.696.479	18.715.271.707	25.660.392.583	24.268.996.030	23.194.020.508	34.447.380.781	18.841.452.886	27.171.701.318	17.576.359.312	37.464.249.238
sp|Q7Z478|DHX29_HUMAN	Q7Z478	DHX29_HUMAN	DHX29	1369	Homo sapiens	ATP-dependent RNA helicase DHX29	1:Experimental evidence at protein level	25.20	10.000	0.9990	30	30	30	52	52	52	108204526	108204526	108204526	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 16K(229.1629), 17K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			18.716.363.751	18.381.027.350	15.041.285.762	20.947.209.614	22.041.826.406	18.424.046.765	26.170.042.009	17.482.944.141	20.837.849.120	18.492.643.843	31.138.743.822
sp|Q7Z4G1|COMD6_HUMAN	Q7Z4G1	COMD6_HUMAN	COMMD6	85	Homo sapiens	COMM domain-containing protein 6	1:Experimental evidence at protein level	90.59	10.000	0.9990	7	7	7	13	13	13	116137890	116137890	116137890	10C(57.0214), 12K(229.1629), 13K(229.1629), 1C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			3.413.127.571	4.228.814.686	2.686.393.595	4.513.607.673	3.242.860.474	4.288.389.731	4.616.426.008	3.356.106.638	4.817.676.399	3.064.336.848	5.712.540.640
sp|Q7Z4G4|TRM11_HUMAN	Q7Z4G4	TRM11_HUMAN	TRMT11	463	Homo sapiens	tRNA (guanine(10)-N2)-methyltransferase homolog	1:Experimental evidence at protein level	9.07	10.000	0.9990	4	4	4	7	7	7	72289767	72289767	72289767	12K(229.1629), 7K(229.1629), N-term(229.1692)			1.268.356.677	2.099.188.241	1.406.737.501	2.367.804.563	2.335.309.280	1.905.937.133	2.149.602.886	2.318.284.160	2.207.205.121	1.793.496.012	3.008.691.846
sp|Q7Z4H3|HDDC2_HUMAN	Q7Z4H3	HDDC2_HUMAN	HDDC2	204	Homo sapiens	5'-deoxynucleotidase HDDC2	1:Experimental evidence at protein level	74.51	10.000	0.9990	11	11	11	27	27	27	420109424	420109424	420109424	10C(57.0214), 12K(229.1629), 12M(15.9949), 18K(229.1629), 20K(229.1629), 23K(229.1629), 4M(15.9949), 5C(57.0214), 6M(15.9949), 7K(229.1629), 7M(15.9949), 8M(15.9949), 9K(229.1629), N-term(229.1692), N-term(42.0106)			6.458.302.527	7.676.404.626	5.146.773.184	9.243.388.149	7.737.516.890	7.584.820.337	9.444.456.978	6.918.519.321	8.925.512.361	6.610.196.737	12.267.123.584
sp|Q7Z4H7|HAUS6_HUMAN	Q7Z4H7	HAUS6_HUMAN	HAUS6	955	Homo sapiens	HAUS augmin-like complex subunit 6	1:Experimental evidence at protein level	18.01	10.000	0.9990	15	15	15	21	21	21	61071161	61071161	61071161	10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 1C(57.0214), 1K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 5C(57.0214), 7K(229.1629), N-term(229.1692), N-term(42.0106)			6.977.513.491	7.399.866.592	6.575.806.980	9.504.057.505	8.812.647.549	9.579.503.638	10.672.400.952	7.709.174.788	9.018.538.306	7.188.218.750	12.742.193.682
sp|Q7Z4H8|PLGT3_HUMAN	Q7Z4H8	PLGT3_HUMAN	POGLUT3	507	Homo sapiens	Protein O-glucosyltransferase 3	1:Experimental evidence at protein level	28.80	10.000	0.9990	12	12	12	30	30	30	151071480	151071480	151071480	13K(229.1629), 15K(229.1629), 17K(229.1629), 18K(229.1629), 4C(57.0214), 4K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			13.508.918.640	18.292.342.061	12.905.817.195	20.173.607.188	19.192.293.286	20.361.725.698	24.224.772.993	20.166.572.637	18.643.048.579	16.564.794.482	26.627.269.336
sp|Q7Z4L5|TT21B_HUMAN	Q7Z4L5	TT21B_HUMAN	TTC21B	1316	Homo sapiens	Tetratricopeptide repeat protein 21B	1:Experimental evidence at protein level	3.04	10.000	0.9990	1	1	1	1	1	1	0	0	0	14C(57.0214), 40K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q7Z4Q2|HEAT3_HUMAN	Q7Z4Q2	HEAT3_HUMAN	HEATR3	680	Homo sapiens	HEAT repeat-containing protein 3	1:Experimental evidence at protein level	26.47	10.000	0.9990	14	14	14	29	29	29	127286732	127286732	127286732	10K(229.1629), 11C(57.0214), 11K(229.1629), 15K(229.1629), 17K(229.1629), 22K(229.1629), 29K(229.1629), 5C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			7.969.715.647	10.019.889.950	8.446.348.882	9.906.944.091	10.788.208.983	8.777.418.179	14.272.601.775	8.362.216.636	10.685.029.277	9.697.396.340	13.897.561.014
sp|Q7Z4V0|ZN438_HUMAN	Q7Z4V0	ZN438_HUMAN	ZNF438	828	Homo sapiens	Zinc finger protein 438	1:Experimental evidence at protein level	4.47	10.000	0.9990	3	3	3	3	3	3	29790096	29790096	29790096	13K(229.1629), 16K(229.1629), N-term(229.1692)			359.633.340	648.405.000	586.335.977	642.059.863	735.245.977	677.205.723	624.885.508	807.001.387	523.447.070	586.329.834	658.645.234
sp|Q7Z4V5|HDGR2_HUMAN	Q7Z4V5	HDGR2_HUMAN	HDGFL2	671	Homo sapiens	Hepatoma-derived growth factor-related protein 2	1:Experimental evidence at protein level	35.02	10.000	0.9990	26	25	26	58	57	58	652051680	652051680	652051680	10K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 28K(229.1629), 2C(57.0214), 2K(229.1629), 4K(229.1629), 5K(229.1629), 7K(229.1629), 7M(15.9949), 9K(229.1629), N-term(229.1692)			26.289.326.595	26.492.759.641	21.381.822.399	34.013.421.775	27.791.397.935	31.246.144.683	35.366.497.780	24.554.630.146	35.290.666.398	24.121.560.654	44.131.642.031
sp|Q7Z4W1|DCXR_HUMAN	Q7Z4W1	DCXR_HUMAN	DCXR	244	Homo sapiens	L-xylulose reductase	1:Experimental evidence at protein level	72.95	10.000	0.9990	14	14	14	38	38	38	783992152	783992152	783992152	10K(229.1629), 12C(57.0214), 12K(229.1629), 18C(57.0214), 19C(57.0214), 23K(229.1629), 28K(229.1629), 2M(15.9949), 3M(15.9949), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			17.187.090.056	20.837.320.487	16.611.344.305	22.972.728.059	22.960.248.898	21.947.263.765	25.208.654.148	21.979.665.594	22.647.352.972	21.476.516.958	36.737.932.292
sp|Q7Z569|BRAP_HUMAN	Q7Z569	BRAP_HUMAN	BRAP	592	Homo sapiens	BRCA1-associated protein	1:Experimental evidence at protein level	32.09	10.000	0.9990	17	17	17	25	25	25	157822784	157822784	157822784	10C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 1C(57.0214), 20K(229.1629), 2C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			11.822.680.872	15.874.318.623	9.735.325.034	15.364.154.458	12.729.002.173	14.885.032.900	16.173.849.922	10.487.656.428	16.535.341.421	9.929.910.957	18.562.522.668
sp|Q7Z589|EMSY_HUMAN	Q7Z589	EMSY_HUMAN	EMSY	1322	Homo sapiens	BRCA2-interacting transcriptional repressor EMSY	1:Experimental evidence at protein level	7.64	10.000	0.9990	9	9	9	11	11	11	45883718	45883718	45883718	10K(229.1629), 11K(229.1629), 15K(229.1629), 16K(229.1629), 24K(229.1629), 26K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			2.907.066.162	2.792.709.663	2.182.841.418	2.952.448.813	3.145.875.474	3.395.449.019	3.321.581.025	3.064.235.046	3.114.198.579	2.675.007.205	4.098.288.994
sp|Q7Z591|AKNA_HUMAN	Q7Z591	AKNA_HUMAN	AKNA	1439	Homo sapiens	Microtubule organization protein AKNA	1:Experimental evidence at protein level	6.74	10.000	0.9990	8	8	8	10	10	10	192351513	192351513	192351513	12K(229.1629), 20K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			2.782.939.460	3.760.083.271	2.429.344.771	5.133.478.726	2.674.985.034	3.847.980.547	5.803.212.019	3.086.483.704	2.902.439.907	2.899.744.966	5.532.997.842
sp|Q7Z5G4|GOGA7_HUMAN	Q7Z5G4	GOGA7_HUMAN	GOLGA7	137	Homo sapiens	Golgin subfamily A member 7	1:Experimental evidence at protein level	32.85	10.000	0.9990	4	4	4	4	4	4	20031542	20031542	20031542	11K(229.1629), N-term(229.1692)			903.539.395	1.173.130.400	687.524.751	1.229.153.242	1.008.357.144	1.297.678.760	1.259.942.803	975.178.232	1.134.353.652	1.019.970.396	1.265.056.025
sp|Q7Z5J4|RAI1_HUMAN	Q7Z5J4	RAI1_HUMAN	RAI1	1906	Homo sapiens	Retinoic acid-induced protein 1	1:Experimental evidence at protein level	6.03	10.000	0.9990	8	7	7	14	11	11	86352245	63602217	86352245	10C(57.0214), 10K(229.1629), 12C(57.0214), 12K(229.1629), 14C(57.0214), 17K(229.1629), 19K(229.1629), 21K(229.1629), 6C(57.0214), 9C(57.0214), N-term(229.1692)			3.791.565.718	3.788.058.120	3.236.154.666	4.289.638.750	4.122.859.033	4.060.739.653	4.875.293.926	3.713.763.599	4.271.017.549	3.114.901.069	6.177.873.223
sp|Q7Z5K2|WAPL_HUMAN	Q7Z5K2	WAPL_HUMAN	WAPL	1190	Homo sapiens	Wings apart-like protein homolog	1:Experimental evidence at protein level	30.76	10.000	0.9990	31	31	31	70	70	70	217791284	217791284	217791284	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14M(15.9949), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 20K(229.1629), 24K(229.1629), 25K(229.1629), 2C(57.0214), 2M(15.9949), 5C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			37.222.053.114	41.277.930.667	31.649.312.379	43.429.322.727	43.913.628.973	43.754.610.759	51.466.213.041	35.237.234.924	43.954.413.929	31.326.420.579	59.676.158.943
sp|Q7Z5L2|R3HCL_HUMAN	Q7Z5L2	R3HCL_HUMAN	R3HCC1L	792	Homo sapiens	Coiled-coil domain-containing protein R3HCC1L	1:Experimental evidence at protein level	16.67	10.000	0.9990	10	10	10	10	10	10	37733824	37733824	37733824	10K(229.1629), 11K(229.1629), 16K(229.1629), 3C(57.0214), 4C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			2.115.236.907	2.675.991.836	1.901.175.281	3.091.415.850	2.616.119.851	3.090.938.613	2.987.503.135	2.069.539.497	3.354.113.809	1.578.790.762	3.188.555.322
sp|Q7Z5L9|I2BP2_HUMAN	Q7Z5L9	I2BP2_HUMAN	IRF2BP2	587	Homo sapiens	Interferon regulatory factor 2-binding protein 2	1:Experimental evidence at protein level	86.37	10.000	0.9990	34	30	34	118	97	118	994883936	933770032	994883936	10C(57.0214), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1C(57.0214), 21K(229.1629), 22K(229.1629), 26K(229.1629), 28K(229.1629), 2C(57.0214), 30K(229.1629), 31K(229.1629), 33C(57.0214), 34C(57.0214), 36K(229.1629), 37C(57.0214), 4C(57.0214), 5C(57.0214), 5M(15.9949), 7C(57.0214), 9C(57.0214), N-term(229.1692), N-term(42.0106)			41.780.197.804	47.942.393.124	40.146.118.008	54.057.692.397	54.412.759.333	56.891.394.875	62.704.004.590	43.835.950.901	54.230.220.642	52.400.545.057	75.788.609.011
sp|Q7Z5Q1|CPEB2_HUMAN	Q7Z5Q1	CPEB2_HUMAN	CPEB2	589	Homo sapiens	Cytoplasmic polyadenylation element-binding protein 2	2:Experimental evidence at transcript level	4.75	10.000	0.9990	2	1	2	2	1	2	0	0	0	11K(229.1629), 17K(229.1629), 6C(57.0214), N-term(229.1692)			288.850.537	360.237.559	196.093.262	306.476.680	276.135.869	291.281.738	329.542.197	332.072.422	375.049.551	392.560.938	440.916.094
sp|Q7Z5R6|AB1IP_HUMAN	Q7Z5R6	AB1IP_HUMAN	APBB1IP	666	Homo sapiens	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	1:Experimental evidence at protein level	34.38	10.000	0.9990	17	17	17	57	57	57	782070832	782070832	782070832	10C(57.0214), 10K(229.1629), 19M(15.9949), 1K(229.1629), 20K(229.1629), 22K(229.1629), 23M(15.9949), 24K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 7K(229.1629), 7M(15.9949), 9K(229.1629), N-term(229.1692)			26.399.903.234	36.543.726.655	25.244.700.331	48.650.621.750	28.992.369.464	43.549.458.000	47.393.010.452	28.165.448.864	40.955.115.551	18.372.509.307	49.963.539.448
sp|Q7Z614|SNX20_HUMAN	Q7Z614	SNX20_HUMAN	SNX20	316	Homo sapiens	Sorting nexin-20	1:Experimental evidence at protein level	15.19	10.000	0.9990	4	4	4	5	5	5	31815196	31815196	31815196	14C(57.0214), 19C(57.0214), 5C(57.0214), 7K(229.1629), N-term(229.1692)			1.482.620.908	1.939.919.336	1.424.320.078	1.853.915.811	2.385.182.773	1.928.384.365	2.426.009.600	2.315.187.764	1.831.062.505	2.855.638.438	2.511.909.180
sp|Q7Z624|CMKMT_HUMAN	Q7Z624	CMKMT_HUMAN	CAMKMT	323	Homo sapiens	Calmodulin-lysine N-methyltransferase	1:Experimental evidence at protein level	7.43	10.000	0.9990	2	2	2	2	2	2	3828000	3828000	3828000	10C(57.0214), N-term(229.1692)			620.388.750	750.397.773	553.453.750	844.766.445	844.993.750	914.872.656	910.279.453	668.934.355	837.467.422	691.304.160	1.171.886.523
sp|Q7Z6B0|CCD91_HUMAN	Q7Z6B0	CCD91_HUMAN	CCDC91	441	Homo sapiens	Coiled-coil domain-containing protein 91	1:Experimental evidence at protein level	36.28	10.000	0.9990	15	15	15	27	27	27	92483594	92483594	92483594	11C(57.0214), 12K(229.1629), 14K(229.1629), 1C(57.0214), 26K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			15.022.990.181	19.791.176.636	15.055.997.354	24.430.269.846	16.834.961.198	21.693.640.288	23.696.102.130	16.385.841.948	21.915.343.584	14.764.275.303	27.488.144.758
sp|Q7Z6E9|RBBP6_HUMAN	Q7Z6E9	RBBP6_HUMAN	RBBP6	1792	Homo sapiens	E3 ubiquitin-protein ligase RBBP6	1:Experimental evidence at protein level	21.54	10.000	0.9990	38	38	38	75	75	75	427560832	427560832	427560832	10K(229.1629), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17C(57.0214), 18K(229.1629), 1K(229.1629), 20C(57.0214), 2C(57.0214), 2K(229.1629), 4C(57.0214), 5K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			34.436.248.198	31.795.511.567	28.181.880.946	36.421.129.424	37.590.370.527	34.284.111.038	44.595.961.958	29.492.475.620	39.023.623.408	29.839.496.375	57.625.345.991
sp|Q7Z6I6|RHG30_HUMAN	Q7Z6I6	RHG30_HUMAN	ARHGAP30	1101	Homo sapiens	Rho GTPase-activating protein 30	1:Experimental evidence at protein level	22.71	10.000	0.9990	21	20	21	36	35	36	193912360	193912360	193912360	10K(229.1629), 11C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 1K(229.1629), 21K(229.1629), 22K(229.1629), 24K(229.1629), 2C(57.0214), 4C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			16.568.554.636	20.464.129.348	14.446.411.152	20.496.421.033	20.909.847.554	20.686.343.103	23.179.244.419	15.249.656.687	23.980.083.936	14.497.201.450	29.543.628.887
sp|Q7Z6I8|CE024_HUMAN	Q7Z6I8	CE024_HUMAN	C5orf24	188	Homo sapiens	UPF0461 protein C5orf24	1:Experimental evidence at protein level	35.11	10.000	0.9990	5	5	5	9	9	9	67696470	67696470	67696470	11K(229.1629), 14K(229.1629), 17M(15.9949), 8C(57.0214), 9K(229.1629), N-term(229.1692)			2.913.554.344	3.093.197.599	3.379.581.518	3.681.224.919	3.563.264.750	3.495.085.125	3.553.262.522	3.304.690.818	2.862.602.375	4.019.491.453	4.413.496.079
sp|Q7Z6J9|SEN54_HUMAN	Q7Z6J9	SEN54_HUMAN	TSEN54	526	Homo sapiens	tRNA-splicing endonuclease subunit Sen54	1:Experimental evidence at protein level	9.70	10.000	0.9990	4	4	4	7	7	7	33851098	33851098	33851098	14C(57.0214), 17K(229.1629), 2C(57.0214), 5K(229.1629), N-term(229.1692)			2.110.349.453	2.070.889.951	2.154.133.193	2.225.969.434	2.271.097.104	2.461.337.632	2.426.713.574	2.132.710.190	2.509.266.831	2.232.200.786	3.765.557.119
sp|Q7Z6K3|PTAR1_HUMAN	Q7Z6K3	PTAR1_HUMAN	PTAR1	402	Homo sapiens	Protein prenyltransferase alpha subunit repeat-containing protein 1	1:Experimental evidence at protein level	6.47	10.000	0.9990	3	3	3	3	3	3	12221486	12221486	12221486	8K(229.1629), 9K(229.1629), N-term(229.1692)			1.342.304.556	1.466.952.695	594.236.172	1.581.666.113	1.017.037.585	1.562.239.839	1.453.067.739	756.798.345	1.753.288.149	363.308.694	1.362.668.608
sp|Q7Z6L1|TCPR1_HUMAN	Q7Z6L1	TCPR1_HUMAN	TECPR1	1165	Homo sapiens	Tectonin beta-propeller repeat-containing protein 1	1:Experimental evidence at protein level	2.49	10.000	0.9990	2	2	2	4	4	4	18405976	18405976	18405976	15K(229.1629), N-term(229.1692)			478.000.303	574.461.226	167.946.621	619.144.858	561.323.545	575.710.259	493.085.947	434.494.966	646.579.985	326.391.499	772.736.055
sp|Q7Z6M1|RABEK_HUMAN	Q7Z6M1	RABEK_HUMAN	RABEPK	372	Homo sapiens	Rab9 effector protein with kelch motifs	1:Experimental evidence at protein level	40.05	10.000	0.9990	10	10	10	16	16	16	121510044	121510044	121510044	11C(57.0214), 12K(229.1629), 14C(57.0214), 14K(229.1629), 15C(57.0214), 15K(229.1629), 20C(57.0214), 21K(229.1629), 23C(57.0214), 27K(229.1629), 2C(57.0214), 5C(57.0214), 8C(57.0214), 9K(229.1629), N-term(229.1692)			11.183.877.930	13.182.757.866	6.237.349.028	14.526.051.670	10.517.994.551	12.654.596.738	15.560.873.096	8.393.426.416	15.367.567.959	5.678.617.041	15.192.304.658
sp|Q7Z6M3|MILR1_HUMAN	Q7Z6M3	MILR1_HUMAN	MILR1	343	Homo sapiens	Allergin-1	1:Experimental evidence at protein level	11.66	10.000	0.9990	4	4	4	4	4	4	42722713	42722713	42722713	12K(229.1629), 5C(57.0214), 8C(57.0214), 9K(229.1629), N-term(229.1692)			785.746.794	639.834.509	592.575.771	889.921.067	789.935.103	800.206.802	1.238.990.984	685.648.979	928.494.047	565.408.491	1.509.052.520
